iter	F1	Logloss
254	0.8562838244	0.3509480215
255	0.8569711538	0.3507326017
256	0.8569711538	0.3506696797
257	0.8569711538	0.350412397
258	0.8569711538	0.3502012235
259	0.8569711538	0.3499269756
260	0.8564564565	0.3496514102
261	0.8564564565	0.3494182994
262	0.8564564565	0.3493071884
263	0.8564564565	0.349119879
264	0.8569711538	0.3487028257
265	0.8569711538	0.3485428491
266	0.8580024067	0.3482742621
267	0.8580024067	0.3482731123
268	0.8580024067	0.3479029592
269	0.8580024067	0.3475905972
270	0.8580024067	0.3474920375
271	0.8580024067	0.3473826264
272	0.8574864702	0.3471630605
273	0.8574864702	0.3467437089
274	0.8574864702	0.3464944013
275	0.8574864702	0.3463533492
276	0.8574864702	0.3461689055
277	0.8574864702	0.3459229024
278	0.8574864702	0.3456331424
279	0.8574864702	0.345320445
280	0.8574864702	0.3451042021
281	0.8574864702	0.3449219487
282	0.8574864702	0.3447687646
283	0.8574864702	0.3444273148
284	0.8574864702	0.3441235005
285	0.8580024067	0.343773299
286	0.8580024067	0.3436130962
287	0.8586891161	0.3433435638
288	0.8585189645	0.3428745836
289	0.8585189645	0.3427020283
290	0.8592057762	0.3424525689
291	0.8598917619	0.3420996496
292	0.8598917619	0.3420932957
293	0.8598917619	0.3417540992
294	0.8598917619	0.3415638437
295	0.8598917619	0.3413524741
296	0.8598917619	0.3413115865
297	0.8598917619	0.3411901872
298	0.8598917619	0.3409718455
299	0.8605769231	0.3406514851
300	0.8605769231	0.3403270328
301	0.8605769231	0.3401180328
302	0.8605769231	0.3397839821
303	0.8605769231	0.3394275889
304	0.8605769231	0.3390644903
305	0.8605769231	0.3386646698
306	0.8633093525	0.3384466814
307	0.8633093525	0.3382216606
308	0.8633093525	0.3379964605
309	0.8639904134	0.3376031488
310	0.8639904134	0.3373690366
311	0.8639904134	0.3371472245
312	0.8639904134	0.3367972789
313	0.8639904134	0.3365420802
314	0.8639904134	0.3361883515
315	0.8639904134	0.3359317544
316	0.8639904134	0.3356577643
317	0.8639904134	0.3352176899
318	0.8639904134	0.3349214158
319	0.8639904134	0.3345190939
320	0.8639904134	0.3341413643
321	0.8639904134	0.3338901173
322	0.8639904134	0.3336807012
323	0.8639904134	0.333458131
324	0.8639904134	0.3332388986
325	0.8639904134	0.3328839238
326	0.8639904134	0.3326482838
327	0.8667065152	0.332542464
328	0.8667065152	0.3323204374
329	0.8667065152	0.3320214651
330	0.8667065152	0.3317926665
331	0.8667065152	0.3315938572
332	0.8667065152	0.3314564929
333	0.8667065152	0.3312118206
334	0.8667065152	0.3308134786
335	0.8672248804	0.3304582761
336	0.8672248804	0.330295744
337	0.8672248804	0.3301422906
338	0.8679019725	0.3299415973
339	0.8679019725	0.3296816275
340	0.8679019725	0.3294328336
341	0.8679019725	0.3291382291
342	0.8677438659	0.3287338649
343	0.8677438659	0.3284180838
344	0.8687837028	0.3278558617
345	0.8687837028	0.3275440018
346	0.8687837028	0.3273221131
347	0.8687837028	0.3270712345
348	0.8681055156	0.3268616062
349	0.8694610778	0.3266706765
350	0.8694610778	0.3262861799
351	0.8687837028	0.3261098273
352	0.8694610778	0.3258938499
353	0.8694610778	0.3254044661
354	0.8681055156	0.3251582842
355	0.8706586826	0.3248761781
356	0.8701376421	0.324550097
357	0.8701376421	0.324352302
358	0.8714883443	0.324067006
359	0.8714883443	0.3236947373
360	0.8714883443	0.3234344902
361	0.8720095694	0.3231524303
362	0.8726838016	0.3228758333
363	0.8733572282	0.3226612625
364	0.8740298507	0.3224133748
365	0.8733572282	0.3220223546
366	0.8733572282	0.3218573955
367	0.8733572282	0.3216811796
368	0.8733572282	0.3214873359
369	0.8745519713	0.3211926281
370	0.8752238806	0.3209374807
371	0.8752238806	0.3209088194
372	0.8752238806	0.3206743634
373	0.8757467145	0.3202764829
374	0.8757467145	0.3200417427
375	0.8762701733	0.319691502
376	0.8769414576	0.3195134937
377	0.8774656306	0.3191445429
378	0.8774656306	0.3189189115
379	0.8774656306	0.318744973
380	0.8773189707	0.3184960298
381	0.8766467066	0.3182793991
382	0.8759736369	0.3181125886
383	0.8759736369	0.3179285609
384	0.8771719593	0.317618948
385	0.8771719593	0.3173811718
386	0.8771719593	0.317085712
387	0.8771719593	0.3168448139
388	0.8776978417	0.3165443581
389	0.8776978417	0.3163617221
390	0.8776978417	0.3162257144
391	0.8783702816	0.3159535551
392	0.8783702816	0.3157291371
393	0.8783702816	0.3154872721
394	0.8783702816	0.315230835
395	0.8783702816	0.3148224991
396	0.8783702816	0.3145943583
397	0.8783702816	0.3142673894
398	0.8783702816	0.3140763282
399	0.8788968825	0.3139245311
400	0.8788968825	0.3136676686
401	0.8788968825	0.3135097071
402	0.8788968825	0.3133269352
403	0.8794241152	0.3129204533
404	0.8794241152	0.3127153249
405	0.8794241152	0.3122999799
406	0.8794241152	0.3119167571
407	0.8794241152	0.3117648321
408	0.8794241152	0.3116191573
409	0.8787515006	0.3114749419
410	0.8787515006	0.3113120894
411	0.8787515006	0.3110526465
412	0.8787515006	0.3107581867
413	0.8787515006	0.310307107
414	0.8787515006	0.3101634786
415	0.8787515006	0.3098945874
416	0.8787515006	0.3097285534
417	0.8787515006	0.3092834437
418	0.8787515006	0.309006966
419	0.8787515006	0.3088685383
420	0.8794241152	0.3086784749
421	0.8794241152	0.308457004
422	0.8799519808	0.3083099528
423	0.8799519808	0.3078302136
424	0.8792792793	0.3075431219
425	0.8798076923	0.3073812054
426	0.8804804805	0.3072485117
427	0.8804804805	0.3069073179
428	0.8810096154	0.3065198387
429	0.8810096154	0.3064447548
430	0.8810096154	0.3061587155
431	0.8823529412	0.3058084224
432	0.8823529412	0.3056781796
433	0.8823529412	0.3054465434
434	0.8823529412	0.3051483585
435	0.8823529412	0.3049972092
436	0.8823529412	0.3047220846
437	0.8823529412	0.3045971776
438	0.8823529412	0.3043325211
439	0.8823529412	0.3039964711
440	0.8830233953	0.3036528682
441	0.8830233953	0.3035149716
442	0.8835534214	0.3029659344
443	0.8835534214	0.3028611412
444	0.8835534214	0.3024775064
445	0.8835534214	0.3021397126
446	0.8835534214	0.3018545327
447	0.8835534214	0.3015177739
448	0.8835534214	0.3011561633
449	0.8835534214	0.3009234898
450	0.8835534214	0.3007829645
451	0.8835534214	0.3005678058
452	0.8835534214	0.3003486348
453	0.8830233953	0.3000304807
454	0.8830233953	0.2998774218
455	0.8830233953	0.2997572591
456	0.8830233953	0.299514286
457	0.8836930456	0.2993391625
458	0.8836930456	0.2991657512
459	0.8836930456	0.2987606835
460	0.8830233953	0.298402338
461	0.8830233953	0.2981010498
462	0.883163571	0.2977628159
463	0.883163571	0.2975122925
464	0.8838323353	0.2972826523
465	0.8838323353	0.296806645
466	0.8838323353	0.296486333
467	0.8845002992	0.2962428159
468	0.8850299401	0.296016333
469	0.8850299401	0.2958075618
470	0.8850299401	0.2957260898
471	0.8850299401	0.2953851313
472	0.8850299401	0.2951919815
473	0.8850299401	0.2951133109
474	0.8850299401	0.2947932296
475	0.8850299401	0.294575531
476	0.8850299401	0.2944266581
477	0.8850299401	0.2941075465
478	0.8850299401	0.2938770206
479	0.8855602157	0.2935915992
480	0.8855602157	0.2934860375
481	0.8855602157	0.2931885977
482	0.8855602157	0.2930574795
483	0.8855602157	0.2928350926
484	0.8855602157	0.2927059651
485	0.8855602157	0.2924726083
486	0.8855602157	0.292240412
487	0.8862275449	0.2918923056
488	0.8862275449	0.2917509547
489	0.8855602157	0.291396453
490	0.8862275449	0.2911876998
491	0.8860911271	0.2910635704
492	0.8860911271	0.2909456762
493	0.8860911271	0.2906474159
494	0.8860911271	0.2904262293
495	0.8860911271	0.2902404615
496	0.8862275449	0.2899584309
497	0.8862275449	0.2898012303
498	0.8862275449	0.2896371615
499	0.8860911271	0.2895397796
